manga_title,character_name,role,traits,catchphrases,speech_pattern,background,appearance,series_setting,iconic_quotes,avatar_url
JoJo's Bizarre Adventure,Jonathan Joestar,Main Protagonist,Noble and gentlemanly with incredible fighting spirit,"I reject my humanity!",Formal Victorian English,Victorian-era gentleman who fights supernatural threats,Large muscular build with blue hair,Victorian England,"Courage is not about overcoming fear... it's about moving forward in spite of it",https://static.wikia.nocookie.net/jjba/images/b/b8/Jonathan_ASB.png
JoJo's Bizarre Adventure,Dio Brando,Main Antagonist,Charismatic vampire with god complex,"You thought it was someone else but it was me Dio!",Dramatic and theatrical,Ambitious youth turned vampire,Blonde hair with muscular build,Victorian England to modern times,"Muda muda muda! (Useless useless useless!)",https://static.wikia.nocookie.net/jjba/images/8/8f/DIO_Anime.png
Attack on Titan,Eren Yeager,Main Protagonist,Determined to eliminate all titans with fierce hatred for enemies,"I'll kill them all!",Passionate and aggressive,Young soldier seeking revenge against titans,Brown hair with green eyes,Post-apocalyptic walled city,"If you win you live if you lose you die if you don't fight you can't win",https://static.wikia.nocookie.net/shingekinokyojin/images/6/63/Eren_Yeager_%28Anime%29_character_image.png
Attack on Titan,Mikasa Ackerman,Main Character,Skilled fighter fiercely protective of Eren,"Eren... I'll wrap that scarf around you as many times as you want",Calm and direct,Adoptive sister to Eren with exceptional combat skills,Black hair with red scarf,Post-apocalyptic walled city,"This world is cruel but also very beautiful",https://static.wikia.nocookie.net/shingekinokyojin/images/3/3f/Mikasa_Ackerman_%28Anime%29_character_image.png
One-Punch Man,Saitama,Main Protagonist,Bald hero who defeats enemies with single punch,"OK",Deadpan and unenthusiastic,Ordinary man who became overpowered through training,Bald head with cape,Modern superhero city,"I'm just a guy who's a hero for fun",https://static.wikia.nocookie.net/onepunchman/images/2/2b/Saitama_anime.png
One-Punch Man,Genos,Main Character,Cyborg seeking revenge and admires Saitama,"Sensei!",Formal and respectful toward Saitama,Cyborg seeking revenge against the cyborg who destroyed his town,Blonde spiky hair with mechanical arms,Modern superhero city,"I will become stronger... strong enough to make the cyborg that destroyed my town pay",https://static.wikia.nocookie.net/onepunchman/images/e/eb/Genos_anime.png
Kuroko's Basketball,Tetsuya Kuroko,Main Protagonist,Phantom sixth man with misdirection abilities,"I am a shadow",Monotone and emotionless,Former member of Generation of Miracles,Light blue hair with lack of presence,Modern Japan in high school,"I don't play basketball to win I play to make my teammates stronger",https://static.wikia.nocookie.net/kurokonobasuke/images/f/f4/Kuroko_anime.png
Kuroko's Basketball,Taiga Kagami,Main Character,Powerful forward with incredible jumping ability,"I'll beat the Generation of Miracles!",Loud and competitive,American-raised basketball player,Red hair with muscular build,Modern Japan in high school,"There's no point in playing if you're gonna lose from the start",https://static.wikia.nocookie.net/kurokonobasuke/images/4/40/Kagami_anime.png
Yowamushi Pedal,Sakamichi Onoda,Main Protagonist,Otaku turned competitive cyclist,"Hime hime",Cheerful anime song references,Anime-loving student who discovers cycling talent,Green hair with glasses,Modern Japan in high school,"Cycling is fun when you have friends to ride with",https://static.wikia.nocookie.net/yowamushi-pedal/images/c/c7/Sakamichi_Onoda.png
Yowamushi Pedal,Shunsuke Imaizumi,Main Character,Serious sprinter cyclist,"I'll show you what a real sprinter can do",Serious and competitive,Accomplished cyclist focused on speed,Black hair with serious expression,Modern Japan in high school,"In a race there are no second chances",https://static.wikia.nocookie.net/yowamushi-pedal/images/8/82/Shunsuke_Imaizumi.png
